NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06547957,A First-in-Human Study of EOS301984 as Monotherapy or Combination Therapy in Adult Participants With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06547957,RECRUITING,Advanced Solid Tumors,DRUG: EOS301984|DRUG: Anti-PD-1 monoclonal antibody,iTeos Therapeutics,,INTERVENTIONAL
NCT06547944,"Zanubrutinib, Obinutuzumab and Lenalidomide in Newly Diagnosed Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL)",https://clinicaltrials.gov/study/NCT06547944,ACTIVE_NOT_RECRUITING,Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma|Newly Diagnosed,DRUG: Zanubrutinib|DRUG: Lenalidomide|DRUG: Obinutuzumab,"Institute of Hematology & Blood Diseases Hospital, China",,INTERVENTIONAL
NCT06547931,Duffy-null Associated Neutrphil Count (DANC) Pediatric Patients,https://clinicaltrials.gov/study/NCT06547931,RECRUITING,Neutropenia Autoimmune,OTHER: Data collection and analysis,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",,OBSERVATIONAL
NCT06547918,SmartAdjust 2.0 System With Type 1 and Type 2 Diabetes,https://clinicaltrials.gov/study/NCT06547918,RECRUITING,Diabetes Mellitus,DEVICE: Omnipod 5 SA2.0 System,Insulet Corporation,,INTERVENTIONAL
NCT06547905,Evaluation of an Ostomy Leakage Detection System,https://clinicaltrials.gov/study/NCT06547905,RECRUITING,Ostomy,DEVICE: Ostomy Leakage Detection System,Hollister Incorporated,,INTERVENTIONAL
NCT06547892,Use of Vasopressin in Patients at High Risk of Acute Kidney Injury Admitted to the ICU,https://clinicaltrials.gov/study/NCT06547892,NOT_YET_RECRUITING,Critical Illness,"DRUG: Vasopressin|OTHER: 0,9% saline solution",Hospital do Coracao,,INTERVENTIONAL
NCT06547879,Effect of a Daily Life Activity-Based Awareness Training Program on Hypertensive Individuals,https://clinicaltrials.gov/study/NCT06547879,COMPLETED,Hypertension|Cardiovascular Diseases|Self Efficacy|Treatment Adherence and Compliance|Health Behavior,BEHAVIORAL: Hypertension Self Management Program,Hacettepe University,,INTERVENTIONAL
NCT06547866,Study Evaluating the Efficacy and Tolerance of a Zanubrutinib and BGB-11417 Combination in Patients Previously Treated for Waldenström Macroglobulinemia,https://clinicaltrials.gov/study/NCT06547866,NOT_YET_RECRUITING,Waldenstrom Macroglobulinemia,DRUG: zanubrutinib + BGB-11417,French Innovative Leukemia Organisation,BeiGene,INTERVENTIONAL
NCT06547853,Physical and Health Outcomes With ExeRcise in Cancer SURVIVORS,https://clinicaltrials.gov/study/NCT06547853,RECRUITING,Breast Cancer Female|Exercise,BEHAVIORAL: Physical exercise,Federal University of Alagoas,,INTERVENTIONAL
NCT06547840,A Study of MOv18 IgE in Folate Receptor Alpha-expressing Platinum Resistant Ovarian Cancer,https://clinicaltrials.gov/study/NCT06547840,NOT_YET_RECRUITING,Advanced Ovarian Cancer|Platinum-resistant Ovarian Cancer,DRUG: MOv18 IgE,Epsilogen Ltd,,INTERVENTIONAL
NCT06547827,Rehabilitation With and Without Robot and Allied Digital Technologies in Stroke Patients,https://clinicaltrials.gov/study/NCT06547827,NOT_YET_RECRUITING,Stroke,OTHER: robotic rehabilitation|OTHER: traditional rehabilitation,Fondazione Don Carlo Gnocchi Onlus,"Istituti Clinici Scientifici Maugeri SpA|IRCCS National Neurological Institute ""C. Mondino"" Foundation|Ospedale Policlinico San Martino|Università di Pavia|Scuola Superiore Sant'Anna di Pisa",INTERVENTIONAL
NCT06547814,COVID-19 Vaccine Hesitancy Counseling Intervention for Pharmacists: A Stepped-Wedge Trial,https://clinicaltrials.gov/study/NCT06547814,ENROLLING_BY_INVITATION,COVID-19,BEHAVIORAL: Standard implementation webinar and online training|BEHAVIORAL: Virtual facilitation,"University of North Carolina, Chapel Hill",University of Arkansas|University of South Carolina|National Institute on Minority Health and Health Disparities (NIMHD),INTERVENTIONAL
NCT06547801,Effects of Human Milk Oligosaccharide Ingestion on Weight Loss and Markers of Health,https://clinicaltrials.gov/study/NCT06547801,COMPLETED,Weight Loss,DIETARY_SUPPLEMENT: 2'-Fucosyllactose|DIETARY_SUPPLEMENT: Maltodextrin,Advanced Protein Technologies Corporation,,INTERVENTIONAL
NCT06547788,LEFT ATRIAL MONITORING IN PATIENTS BEFORE AND AFTER MITRAL SURGERY - LAMBDA STUDY,https://clinicaltrials.gov/study/NCT06547788,NOT_YET_RECRUITING,Mitral Regurgitation|Mitral Valve Disease|Heart Failure,OTHER: Mitral valve repair with creation of an 8 mm inter-atrial shunt,Ottawa Heart Institute Research Corporation,,INTERVENTIONAL
NCT06547775,A Study to Evaluate Features of KN069 in Participants With Obesity or Overweight,https://clinicaltrials.gov/study/NCT06547775,NOT_YET_RECRUITING,Overweight or Obesity,DRUG: KN069,"Suzhou Alphamab Co., Ltd.",,INTERVENTIONAL
NCT06547762,Hybrid Approach to Pediatric Rehabilitation,https://clinicaltrials.gov/study/NCT06547762,ENROLLING_BY_INVITATION,Cerebral Palsy|Traumatic Brain Injury|Orthopedic Disorder,OTHER: Hybrid approach (in-person and remote) to pediatric rehabilitation: A look beyond the COVID-19 crisis,Alyn Pediatric & Adolescent Rehabilitation Hospital,Sheba Medical Center,INTERVENTIONAL
NCT06547749,Vitamin D Supplementation in Critically Ill Children With Respiratory Disease,https://clinicaltrials.gov/study/NCT06547749,NOT_YET_RECRUITING,Vitamin D Supplementation,,Assiut University,,OBSERVATIONAL
NCT06547736,Exploratory Platform Research on Precision Therapy of Advanced Pancreatic Cancer,https://clinicaltrials.gov/study/NCT06547736,NOT_YET_RECRUITING,Pancreatic Cancer,DRUG: SHR-A2102 or/and HRS-4642|DRUG: SHR-A1904 or/and HRS-4642|DRUG: SHR-A1811 or/and HRS-4642,Fudan University,"Jiangsu HengRui Medicine Co., Ltd.",INTERVENTIONAL
NCT06547723,MBSR Program and Evaluating Its Effectiveness on Relieving Chronic Pain in the Elderly,https://clinicaltrials.gov/study/NCT06547723,ENROLLING_BY_INVITATION,Chronic Pain,OTHER: MBSR and physiotherapy|OTHER: physiotherapy,Mohammad Soukhtanlou,,INTERVENTIONAL
NCT06547710,Primary Tumor Resection for M1a Stage Lung Cancer,https://clinicaltrials.gov/study/NCT06547710,RECRUITING,Lung Cancer Metastatic|Surgical Resection,,Fudan University,,OBSERVATIONAL
